Name,Cap Rate,Vacancy Rate,Home Value to Rent Ratio,Rent as % of Income,Shadow Inventory %,Migration Total,Housing Unit Growth Rate,Building Permits,Vote Republican %,Vote Democrat %,Rental Rate,Rent For Houses,Home Value Growth (MoM),For Sale Inventory,Sale Inventory Growth (YoY),Inventory Surplus/Deficit,Price Cut %,Days on Market,Days on Market Growth (YoY),Inventory as % of Houses,Median Listing Price,Median Listing Price (YoY),New Listing Count,New Listing Count (YoY),Sale Inventory Growth (MoM),Population,Median Household Income,Population Growth,Income Growth,Remote Work %,Home Value,Home Value Growth (YoY),Home Value Growth (5-Year),Overvalued %,Value / Income Ratio,Mortgage Payment,Salary to Afford a House,Mtg Payment as % of Income,Property Tax Rate,Buy v Rent Differential,% Change from June 2022,% Crash from 2007-12,College Degree Rate,Homeownership Rate,Mortgaged Home %,Median Age,Poverty Rate,Housing Units,Migration % of Population,Rent Growth (YoY),Home Price Forecast,Investor Forecast,Long-Term Growth
"Beaver Dam, WI",3.1%,7.0%,18.1,16.7%,4.0%,163,1.5%,-,65.7%,32.8%,"$1,033","$1,291",0.58%,111,19.4%,-22.5%,11.9%,63,4.5%,0.4%,"$327,425",7.8%,50,66.6%,-17.5%,"88,231","$74,190",0.4%,21.0%,7.5%,"$281,868",8.0%,50.3%,27.2%,3.7,"$1,976","$79,075",31.9%,1.3%,91.3%,15.8%,-12.3%,19.6%,71.6%,60%,43.2,7.5%,"38,494",0.1%,-,56,-,46.0
"Beckley, WV",8.5%,17.4%,9.1,22.1%,3.1%,115,-6.8%,61,74.1%,24.0%,$986,"$1,232",0.24%,185,3.0%,-37.2%,13.7%,84,27.2%,0.5%,"$187,750",-0.3%,56,-6.6%,-5.6%,"112,343","$53,485",-5.0%,19.4%,6.4%,"$134,916",7.8%,62.9%,23.1%,2.5,$854,"$34,194",19.1%,0.5%,-13.3%,19.7%,-6.5%,20.2%,74.3%,40%,43.1,14.9%,"53,758",0.1%,-,59,-,43.0
"Bellingham, WA",3.4%,11.1%,20.2,31.0%,8.2%,"1,413",7.5%,979,35.6%,60.4%,"$1,977","$2,471",0.42%,413,30.3%,11.2%,13.9%,81,-6.4%,0.6%,"$650,000",-6.9%,182,35.8%,-15.9%,"231,919","$76,381",2.7%,10.1%,14.4%,"$599,979",4.3%,48.3%,31.0%,7.8,"$3,851","$154,078",60.5%,0.6%,94.8%,0.3%,-17.6%,40.0%,63.0%,61%,38.5,13.0%,"105,216",0.6%,4.1%,47,47,42.0
"Bend, OR",3.5%,12.8%,20.2,28.1%,12.7%,"1,889",11.7%,"1,989",43.0%,53.4%,"$2,191","$2,739",-0.05%,"1,199",25.2%,23.2%,19.5%,103,11.9%,1.3%,"$664,499",2.2%,316,5.3%,-12.2%,"208,513","$93,491",8.6%,30.4%,20.7%,"$666,205",1.2%,56.8%,20.6%,7.1,"$4,212","$168,505",54.0%,0.5%,92.2%,-4.2%,-44.7%,42.0%,71.7%,66%,42.8,9.2%,"101,712",0.9%,0.6%,41,59,55.0
"Bennington, VT",3.0%,29.8%,17.3,22.8%,31.0%,124,-1.2%,-,37.1%,59.5%,"$1,387","$1,734",-0.75%,113,41.2%,-49.1%,9.3%,117,27.3%,0.7%,"$599,000",-14.3%,18,-25.0%,-11.3%,"37,312","$72,923",3.8%,29.7%,14.1%,"$361,797",-1.3%,49.0%,8.7%,4.9,"$2,634","$105,394",43.3%,1.7%,89.9%,3.8%,-4.7%,41.1%,75.6%,58%,46.6,10.7%,"20,877",0.3%,-,57,-,51.0
"Big Rapids, MI",5.7%,22.4%,12.3,22.0%,22.0%,345,-1.6%,-,64.2%,34.1%,"$1,085","$1,356",-0.13%,133,42.2%,-2.9%,16.9%,97,35.9%,0.8%,"$269,075",-2.4%,22,-8.3%,-18.6%,"40,321","$58,929",-6.8%,30.9%,6.7%,"$200,309",2.5%,42.6%,16.4%,3.3,"$1,339","$53,597",27.2%,0.9%,23.4%,2.9%,-,22.7%,75.9%,49%,40.6,17.0%,"21,045",0.8%,-,49,-,40.0
"Billings, MT",3.6%,6.1%,18.7,23.0%,3.7%,"1,084",3.2%,530,62.9%,33.4%,"$1,385","$1,731",0.21%,630,29.7%,23.2%,17.9%,84,25.5%,1.0%,"$449,975",-6.2%,144,-2.7%,-9.7%,"190,772","$72,265",5.9%,18.5%,8.7%,"$389,154",2.5%,49.4%,25.7%,5.3,"$2,520","$100,816",41.8%,0.7%,81.9%,8.5%,-,30.8%,67.9%,60%,40.1,8.7%,"86,596",0.5%,3.0%,43,56,52.0
"Binghamton, NY",6.5%,13.1%,9.2,23.4%,3.0%,-716,1.4%,405,52.3%,47.6%,"$1,277","$1,597",0.33%,250,-5.1%,-49.4%,9.7%,69,7.0%,0.3%,"$210,000",27.7%,126,6.7%,-17.4%,"244,183","$65,315",1.4%,21.4%,9.4%,"$178,234",8.1%,52.6%,18.7%,2.7,"$1,394","$55,768",25.6%,2.3%,9.0%,18.4%,-0.5%,29.9%,68.4%,50%,39.7,15.6%,"115,421",-0.2%,10.1%,61,63,53.0
"Birmingham, AL",6.2%,11.1%,12.2,22.7%,1.1%,"2,462",2.2%,"3,839",57.6%,40.7%,"$1,339","$1,674",0.23%,"3,563",17.5%,14.2%,20.2%,75,4.9%,1.0%,"$284,925",0.6%,"1,294",-2.7%,-5.0%,"1,118,391","$70,669",2.8%,21.0%,10.6%,"$246,548",0.3%,39.1%,11.4%,3.4,"$1,542","$61,687",26.1%,0.4%,15.1%,1.0%,-16.3%,33.4%,70.9%,58%,39.4,12.9%,"499,257",0.2%,4.5%,46,56,53.0
"Bismarck, ND",3.9%,6.4%,16.8,18.5%,1.7%,416,2.9%,330,71.5%,25.7%,"$1,314","$1,643",0.54%,275,-15.9%,-28.5%,12.3%,72,-4.9%,0.6%,"$443,150",6.8%,74,-7.5%,-14.4%,"135,312","$85,108",5.9%,19.9%,8.5%,"$331,902",3.9%,27.1%,7.1%,3.8,"$2,208","$88,357",31.1%,0.9%,68.0%,7.7%,-,38.4%,73.5%,57%,38.9,6.2%,"60,633",0.3%,6.3%,55,57,69.0
"Blackfoot, ID",3.0%,7.2%,22.8,15.5%,2.1%,226,3.9%,-,78.3%,18.7%,"$1,015","$1,269",0.70%,116,45.0%,69.0%,17.6%,84,-4.8%,0.8%,"$417,475",2.8%,22,10.0%,-4.9%,"48,993","$78,378",7.5%,41.2%,5.9%,"$348,126",2.8%,62.3%,13.8%,4.4,"$2,196","$87,841",33.6%,0.5%,116.1%,-5.7%,-,20.7%,80.6%,58%,34.8,10.2%,"17,268",0.4%,5.0%,37,58,67.0
"Blacksburg, VA",7.6%,15.0%,10.0,33.5%,5.1%,589,3.1%,516,56.0%,42.0%,"$1,747","$2,183",0.40%,259,15.4%,-8.7%,16.4%,74,19.9%,0.5%,"$338,675",-7.2%,90,-19.6%,-10.8%,"165,552","$62,535",-1.2%,11.4%,12.6%,"$262,360",2.6%,41.0%,11.1%,4.1,"$1,672","$66,906",32.0%,0.6%,-4.2%,6.9%,-13.6%,35.3%,63.9%,54%,35.5,19.8%,"75,173",0.3%,4.7%,52,61,38.0
"Bloomington, IL",5.0%,6.0%,11.5,20.5%,0.2%,-821,4.0%,255,46.4%,50.9%,"$1,350","$1,688",0.76%,139,-2.4%,-55.6%,14.3%,58,-28.4%,0.2%,"$291,000",-17.4%,120,25.0%,-6.1%,"170,441","$78,744",-1.3%,14.4%,15.4%,"$233,401",6.2%,42.2%,11.3%,2.9,"$1,786","$71,470",27.2%,2.1%,32.2%,14.4%,-6.9%,49.6%,65.4%,61%,35.0,10.5%,"75,631",-0.4%,6.5%,62,50,49.0
"Bloomington, IN",6.2%,8.6%,11.9,32.1%,2.9%,-62,6.1%,817,41.0%,57.2%,"$1,603","$2,003",0.32%,348,32.1%,3.8%,13.1%,87,11.2%,0.8%,"$337,450",-13.4%,100,19.0%,-14.2%,"160,776","$59,839",-4.1%,13.9%,12.6%,"$287,396",4.5%,45.0%,26.8%,4.8,"$1,854","$74,174",37.1%,0.7%,15.6%,6.6%,0.6%,47.7%,55.5%,62%,33.6,15.3%,"76,631",-0.0%,4.6%,47,45,31.0
"Bloomsburg, PA",5.1%,11.6%,13.6,20.2%,5.8%,296,-1.1%,105,63.8%,35.1%,"$1,097","$1,372",0.17%,69,41.2%,-40.8%,18.4%,67,-14.7%,0.3%,"$232,450",-8.8%,26,85.7%,-18.9%,"83,518","$64,956",-0.2%,14.6%,10.3%,"$224,011",0.1%,18.6%,-3.3%,3.4,"$1,491","$59,644",27.5%,0.9%,35.8%,1.8%,-3.4%,27.5%,72.2%,48%,40.8,9.8%,"38,064",0.3%,9.6%,57,40,46.0
"Bluefield, WV",6.1%,18.4%,12.2,20.0%,3.9%,-10,-3.1%,-,80.9%,17.8%,$734,$918,0.83%,186,16.6%,-33.2%,14.3%,87,4.8%,0.5%,"$180,825",0.7%,30,-34.7%,-8.8%,"105,206","$43,875",-3.4%,2.7%,6.1%,"$135,407",5.6%,58.2%,25.4%,3.0,$856,"$34,243",23.4%,0.5%,16.5%,16.1%,-4.8%,21.8%,71.7%,28%,44.2,19.9%,"52,367",-0.0%,17.1%,58,30,32.0
"Boise City, ID",4.1%,4.7%,17.8,25.2%,2.3%,"10,659",16.8%,"9,725",59.9%,37.3%,"$1,769","$2,211",0.20%,"1,922",21.9%,7.6%,16.2%,61,-7.6%,0.8%,"$570,000",-3.3%,"1,264",57.9%,-7.7%,"822,530","$84,176",12.8%,26.6%,17.0%,"$473,689",2.5%,55.0%,32.7%,5.6,"$2,978","$119,127",42.4%,0.5%,68.3%,-8.6%,-36.0%,37.3%,72.2%,65%,38.0,8.2%,"329,401",1.2%,3.3%,47,60,54.0
"Boone, NC",5.1%,35.8%,14.8,51.3%,41.7%,-127,-1.4%,-,46.0%,52.0%,"$2,243","$2,804",-0.23%,248,-3.1%,-41.2%,8.4%,95,2.1%,1.1%,"$699,000",4.9%,64,14.2%,-8.6%,"54,607","$52,394",0.9%,10.2%,9.5%,"$500,555",3.6%,73.4%,32.7%,9.5,"$3,106","$124,243",71.1%,0.4%,38.4%,7.2%,-7.1%,47.6%,61.1%,53%,32.2,21.7%,"33,028",-0.2%,6.0%,58,34,27.0
"Boston, MA",4.3%,5.8%,15.3,31.9%,2.7%,"6,348",4.9%,"11,582",34.5%,62.6%,"$3,002","$3,752",0.24%,"3,621",7.5%,-21.3%,17.3%,56,4.7%,0.2%,"$799,450",-1.2%,"3,018",13.8%,-11.8%,"4,919,179","$112,910",0.8%,19.5%,17.6%,"$689,594",5.0%,43.9%,16.3%,6.1,"$4,629","$185,185",49.2%,1.0%,54.2%,10.0%,-16.7%,52.1%,61.5%,67%,39.7,8.5%,"2,071,733",0.1%,3.4%,54,47,50.0
"Boulder, CO",3.8%,6.1%,18.9,31.6%,2.6%,-959,6.4%,"1,175",20.7%,76.5%,"$2,568","$3,210",0.23%,754,41.2%,52.9%,18.8%,84,3.6%,0.8%,"$765,750",-14.8%,350,14.3%,-10.3%,"326,831","$97,270",0.2%,9.8%,28.0%,"$728,257",0.3%,34.0%,29.4%,7.4,"$4,593","$183,732",56.6%,0.5%,78.8%,-5.5%,-3.1%,65.3%,61.2%,63%,38.2,10.7%,"146,373",-0.2%,3.7%,35,39,41.0
"Bowling Green, KY",5.8%,9.0%,12.8,24.9%,3.9%,"2,238",8.8%,"1,325",67.0%,31.4%,"$1,287","$1,609",0.46%,727,27.2%,40.8%,17.6%,81,2.5%,1.4%,"$314,500",1.6%,200,38.8%,-4.3%,"187,874","$61,832",6.1%,20.7%,6.3%,"$247,777",2.7%,48.9%,27.3%,4.0,"$1,577","$63,087",30.6%,0.6%,22.4%,10.0%,-2.9%,27.5%,62.3%,63%,35.2,13.0%,"82,637",1.1%,4.6%,39,55,48.0
"Bozeman, MT",3.4%,8.9%,20.6,29.0%,8.0%,799,17.5%,-,46.4%,49.6%,"$2,254","$2,818",-0.18%,561,15.4%,22.0%,9.1%,101,21.3%,1.5%,"$996,000",-19.9%,142,-4.0%,-10.6%,"126,409","$92,981",12.9%,23.2%,10.6%,"$699,021",3.4%,57.8%,24.7%,7.5,"$4,437","$177,509",57.2%,0.5%,96.8%,0.2%,-,51.0%,60.3%,65%,34.6,9.0%,"59,966",0.6%,1.7%,42,52,57.0
"Branson, MO",5.5%,25.8%,13.6,24.6%,28.7%,165,-2.6%,-,79.2%,19.8%,"$1,221","$1,526",-0.27%,676,36.1%,33.8%,15.8%,108,33.7%,3.2%,"$279,900",-5.0%,120,0.0%,-12.0%,"56,382","$59,423",3.0%,29.0%,9.8%,"$249,876",-1.8%,53.9%,18.6%,4.2,"$1,584","$63,380",31.9%,0.5%,29.7%,0.2%,-,25.3%,66.9%,54%,42.0,13.5%,"29,875",0.2%,3.4%,37,47,49.0
"Breckenridge, CO",4.5%,61.2%,17.0,43.2%,60.8%,-339,3.0%,-,29.8%,67.0%,"$3,758","$4,697",-0.46%,490,33.5%,1.7%,11.7%,104,11.7%,1.7%,"$1,140,000",3.6%,100,28.2%,-9.4%,"30,857","$104,277",1.4%,31.5%,18.5%,"$960,807",0.5%,40.4%,11.5%,9.2,"$5,903","$236,150",67.9%,0.3%,57.0%,-11.1%,2.7%,51.3%,70.5%,65%,38.8,7.3%,"31,849",-1.1%,-,44,-,56.0
"Bremerton, WA",3.8%,7.6%,17.9,24.3%,3.8%,-392,4.3%,"1,662",37.6%,58.4%,"$2,062","$2,577",0.32%,384,4.3%,22.5%,17.0%,75,34.8%,0.4%,"$639,988",6.7%,194,-6.7%,-15.3%,"277,658","$101,601",2.9%,27.6%,12.8%,"$555,166",2.8%,39.9%,11.3%,5.4,"$3,602","$144,099",42.5%,0.7%,74.6%,-3.6%,-25.2%,38.8%,70.8%,65%,40.4,7.8%,"118,685",-0.1%,6.3%,43,53,55.0
"Brenham, TX",3.7%,12.0%,16.7,22.0%,9.3%,738,8.5%,-,76.9%,22.2%,"$1,410","$1,762",-0.10%,132,47.7%,71.7%,18.3%,99,16.8%,1.0%,"$354,500",2.4%,36,80.0%,-6.4%,"36,156","$76,586",3.9%,39.3%,8.1%,"$355,236",0.9%,34.9%,5.0%,4.6,"$2,421","$96,872",37.9%,1.1%,71.7%,-2.2%,-,31.0%,73.1%,43%,40.9,11.4%,"17,371",1.9%,-,33,-,60.0
"Brevard, NC",5.7%,23.8%,13.2,41.2%,22.9%,411,-2.1%,-,55.3%,43.1%,"$2,263","$2,829",0.59%,148,19.8%,-33.1%,11.2%,112,14.3%,1.0%,"$694,500",2.8%,34,-5.5%,-13.9%,"33,243","$65,813",-0.8%,31.0%,10.6%,"$451,541",4.5%,78.3%,30.3%,6.8,"$2,818","$112,724",51.3%,0.4%,24.4%,12.5%,-,38.6%,75.1%,48%,51.9,13.2%,"19,147",1.2%,-,55,-,35.0
"Bridgeport, CT",3.9%,6.1%,15.1,29.1%,2.3%,"-4,031",3.4%,899,39.4%,58.9%,"$2,756","$3,445",0.00%,904,-3.3%,-61.6%,6.4%,70,10.2%,0.3%,"$747,000",-12.0%,572,-1.7%,-10.9%,"959,768","$113,279",1.6%,16.7%,16.2%,"$627,234",4.8%,53.3%,8.6%,5.5,"$4,479","$179,166",47.4%,1.5%,62.5%,15.0%,-25.8%,51.8%,65.0%,63%,41.2,8.7%,"380,697",-0.4%,6.5%,63,46,48.0
"Brookings, SD",3.7%,10.2%,17.0,19.9%,5.5%,316,4.7%,-,57.4%,40.0%,"$1,140","$1,425",0.62%,79,36.5%,29.2%,6.5%,95,-24.0%,0.9%,"$373,675",0.3%,28,133.3%,-5.9%,"34,968","$68,687",2.1%,18.1%,10.9%,"$291,484",4.5%,40.3%,13.0%,4.2,"$1,983","$79,343",34.6%,1.1%,73.9%,7.6%,-,43.9%,58.8%,56%,28.0,11.2%,"15,025",0.8%,9.7%,41,45,54.0
"Brownsville, TX",7.2%,11.7%,9.6,30.3%,6.7%,"-1,027",6.3%,"2,359",52.5%,46.7%,"$1,346","$1,683",0.32%,"1,621",33.4%,43.3%,14.7%,94,18.3%,1.5%,"$305,750",-0.6%,438,16.4%,-3.9%,"426,710","$53,254",0.6%,29.4%,8.7%,"$195,690",2.3%,59.1%,-0.6%,3.6,"$1,360","$54,419",30.6%,1.3%,1.0%,9.4%,-6.0%,22.7%,66.1%,37%,33.4,21.8%,"162,060",-0.2%,4.4%,39,61,44.0
"Brunswick, GA",6.8%,16.7%,11.1,30.1%,12.4%,"1,804",-2.7%,"1,124",66.9%,32.6%,"$1,774","$2,217",0.10%,838,83.6%,15.7%,15.0%,76,5.1%,2.2%,"$448,800",2.4%,196,0.0%,-2.5%,"115,530","$70,619",-2.0%,23.0%,8.4%,"$298,041",2.9%,55.9%,13.1%,4.2,"$1,892","$75,703",32.1%,0.5%,6.6%,10.2%,-22.5%,29.9%,68.7%,55%,44.0,17.9%,"59,487",1.5%,1.0%,47,51,38.0
"Buffalo, NY",4.4%,7.5%,12.9,22.3%,1.0%,"-2,293",2.4%,"1,395",46.9%,51.8%,"$1,324","$1,656",0.23%,905,14.7%,-16.8%,8.4%,71,4.0%,0.2%,"$252,450",5.1%,430,6.4%,-19.4%,"1,155,604","$71,258",2.2%,18.5%,10.8%,"$258,120",5.7%,53.7%,31.2%,3.6,"$1,924","$76,965",32.4%,1.9%,45.2%,12.6%,3.6%,35.6%,66.1%,54%,41.2,13.3%,"543,065",-0.1%,5.1%,54,53,54.0
"Burlington, NC",5.4%,9.5%,13.8,24.0%,1.1%,"2,523",9.4%,"2,423",53.3%,45.2%,"$1,339","$1,674",0.29%,472,23.7%,34.7%,18.8%,74,27.2%,0.9%,"$354,948",4.4%,166,7.7%,-8.1%,"179,165","$66,945",7.6%,14.4%,9.1%,"$278,900",2.4%,65.7%,15.8%,4.1,"$1,767","$70,700",31.6%,0.5%,31.9%,11.0%,-,29.3%,66.0%,58%,39.4,11.3%,"78,406",1.4%,7.0%,42,77,65.0
"Burlington, VT",4.5%,7.6%,13.9,27.1%,8.1%,321,5.9%,"1,185",27.3%,68.8%,"$2,199","$2,749",-0.06%,291,40.3%,-25.0%,16.4%,79,5.7%,0.3%,"$499,975",-4.3%,132,-1.4%,-13.8%,"227,253","$97,406",3.0%,30.0%,19.8%,"$461,190",2.7%,46.9%,7.5%,4.7,"$3,242","$129,715",39.9%,1.4%,47.4%,9.2%,-4.0%,48.5%,69.5%,67%,39.3,7.8%,"103,847",0.1%,2.0%,55,63,58.0
"Butte, MT",4.4%,11.7%,14.9,24.3%,2.9%,555,1.4%,-,44.2%,51.2%,"$1,188","$1,486",0.09%,115,3.5%,11.7%,14.3%,112,16.0%,1.0%,"$325,750",1.7%,30,-21.0%,-10.1%,"35,589","$58,654",2.2%,28.2%,7.1%,"$266,722",2.5%,78.5%,34.1%,4.5,"$1,797","$71,890",36.7%,1.0%,51.1%,9.4%,-,27.7%,70.4%,56%,40.3,15.0%,"17,396",1.5%,9.2%,44,45,45.0
"Calhoun, GA",6.6%,10.2%,11.2,29.7%,0.9%,931,3.3%,-,81.4%,18.0%,"$1,566","$1,958",0.43%,176,64.0%,27.1%,22.5%,78,31.6%,1.1%,"$313,750",2.4%,50,19.0%,-4.6%,"58,336","$63,236",2.7%,37.8%,7.6%,"$264,236",4.4%,69.6%,35.9%,4.1,"$1,703","$68,143",32.3%,0.7%,8.7%,13.1%,-,17.6%,72.5%,59%,38.8,12.4%,"23,210",1.5%,-,42,-,47.0
"California, MD",4.6%,7.3%,15.1,17.8%,3.7%,114,1.4%,386,56.9%,39.9%,"$1,794","$2,243",0.25%,-,-,-,-,-,-,-,-,-,-,-,-,"115,281","$120,630",2.3%,37.1%,13.6%,"$407,566",4.0%,31.0%,-1.4%,3.3,"$2,668","$106,724",26.5%,0.8%,48.6%,4.8%,-25.2%,40.5%,72.8%,71%,37.3,7.9%,"46,644",0.0%,6.9%,-,47,59.0
"Canton, OH",5.5%,7.8%,12.3,19.8%,1.5%,872,0.7%,552,61.6%,37.4%,"$1,078","$1,348",1.06%,472,8.2%,-19.6%,17.3%,52,-7.1%,0.3%,"$237,075",-0.1%,242,-12.3%,-13.1%,"399,447","$65,049",0.0%,16.7%,9.7%,"$199,652",6.8%,48.8%,23.8%,3.0,"$1,364","$54,590",25.1%,1.1%,26.5%,14.0%,-15.0%,25.7%,70.4%,58%,42.4,11.0%,"181,952",0.2%,4.6%,56,52,48.0
"Cape Coral, FL",6.1%,27.8%,11.9,34.1%,24.4%,"13,280",13.0%,"14,340",63.8%,35.4%,"$2,074","$2,592",-0.62%,"12,756",39.0%,71.0%,36.3%,71,-0.7%,3.9%,"$439,900",-8.5%,"3,872",20.4%,9.5%,"834,573","$72,977",10.5%,17.2%,17.1%,"$372,481",-5.6%,58.1%,19.5%,5.1,"$2,414","$96,561",39.6%,0.7%,16.3%,-5.5%,-57.2%,31.9%,75.2%,52%,49.1,11.8%,"452,102",1.5%,-2.2%,30,72,52.0
"Cape Girardeau, MO",4.5%,11.1%,16.0,15.4%,2.8%,-9,0.4%,90,73.8%,25.0%,$871,"$1,089",0.52%,222,21.3%,-12.4%,17.0%,80,15.6%,0.8%,"$287,325",4.5%,78,25.8%,-6.9%,"98,617","$67,755",1.0%,28.7%,7.7%,"$210,039",2.7%,39.4%,2.4%,3.0,"$1,339","$53,576",23.7%,0.6%,53.7%,4.2%,-,30.4%,67.0%,56%,38.3,12.1%,"44,276",-0.0%,3.9%,51,40,56.0
"Carbondale, IL",6.0%,13.3%,10.4,21.7%,3.6%,72,-0.7%,74,61.9%,36.4%,$844,"$1,055",0.76%,129,20.6%,-35.4%,11.9%,100,-4.5%,1.0%,"$124,250",24.3%,14,-50.0%,-7.5%,"132,762","$46,483",-3.9%,-0.8%,8.7%,"$132,160",3.2%,19.7%,7.3%,2.8,$984,"$39,381",25.4%,1.9%,16.6%,3.1%,-,35.0%,49.3%,45%,32.9,19.3%,"65,488",0.0%,5.1%,56,38,40.0
"Carlsbad, NM",9.3%,12.7%,8.4,25.0%,2.9%,66,9.7%,-,77.2%,21.4%,"$1,695","$2,119",1.05%,138,59.5%,-20.2%,17.5%,85,1.4%,0.7%,"$316,750",-0.2%,40,11.1%,0.7%,"61,114","$81,197",6.4%,24.2%,6.2%,"$213,871",3.4%,7.5%,-11.2%,2.6,"$1,342","$53,684",19.8%,0.4%,-20.8%,-3.5%,-,19.8%,74.6%,46%,35.9,11.7%,"26,633",0.1%,-,54,-,68.0
"Carson City, NV",4.6%,5.0%,16.5,30.0%,0.7%,357,4.5%,323,54.3%,43.0%,"$1,864","$2,330",0.44%,89,-4.8%,15.7%,16.9%,65,2.3%,0.5%,"$523,687",-8.4%,48,-14.2%,-12.3%,"58,364","$74,538",7.1%,30.1%,8.5%,"$462,351",3.1%,42.0%,29.0%,6.2,"$2,845","$113,801",45.8%,0.3%,52.5%,-0.5%,-53.9%,21.8%,63.2%,59%,44.2,6.8%,"24,902",0.6%,5.5%,44,50,49.0
"Casper, WY",4.5%,8.5%,16.0,19.8%,3.3%,381,0.9%,146,72.7%,24.5%,"$1,236","$1,545",0.88%,184,-0.5%,-15.5%,19.5%,51,-2.4%,0.7%,"$370,000",-2.2%,98,32.4%,-4.1%,"79,941","$74,667",1.0%,14.8%,9.1%,"$297,183",5.8%,39.2%,12.7%,3.9,"$1,894","$75,798",30.4%,0.6%,53.2%,13.4%,-,29.2%,73.2%,58%,39.0,9.2%,"37,538",0.4%,8.4%,54,44,52.0
"Cedar City, UT",4.0%,13.8%,18.3,25.6%,12.5%,"1,297",9.6%,-,77.3%,20.3%,"$1,428","$1,786",0.64%,405,32.1%,28.6%,17.0%,102,36.4%,2.6%,"$425,000",-1.6%,112,24.4%,-2.1%,"60,201","$66,837",21.1%,29.0%,10.9%,"$393,712",0.4%,54.6%,25.8%,5.8,"$2,445","$97,805",43.8%,0.4%,71.1%,-3.2%,-,30.3%,67.4%,66%,29.9,12.5%,"22,824",2.0%,-0.5%,41,48,52.0
"Cedar Rapids, IA",4.4%,7.4%,13.8,16.5%,0.5%,-511,4.4%,754,47.5%,50.5%,"$1,036","$1,296",0.57%,665,20.5%,7.2%,18.9%,68,3.8%,0.7%,"$276,195",-0.4%,258,18.3%,-7.3%,"275,469","$75,040",1.2%,17.0%,13.1%,"$214,772",3.1%,33.0%,13.4%,2.8,"$1,531","$61,260",24.4%,1.5%,47.6%,8.3%,-1.8%,33.2%,73.7%,62%,40.3,8.8%,"123,460",-0.1%,4.3%,48,38,55.0
"Cedartown, GA",9.2%,9.9%,8.2,37.0%,0.7%,541,1.8%,-,80.0%,19.5%,"$1,739","$2,174",-0.07%,137,28.1%,29.3%,23.3%,80,28.7%,1.3%,"$293,450",-3.7%,50,8.7%,-7.7%,"43,365","$56,414",4.1%,25.6%,4.8%,"$214,950",4.6%,86.0%,53.7%,3.8,"$1,402","$56,107",29.8%,0.7%,-19.3%,13.0%,-23.7%,14.4%,64.4%,47%,38.5,18.0%,"17,301",1.2%,-,41,-,51.0
"Centralia, WA",3.6%,9.1%,19.4,25.5%,7.7%,996,4.8%,-,64.6%,31.8%,"$1,460","$1,825",0.24%,238,16.6%,33.8%,21.2%,101,6.6%,0.8%,"$492,450",-10.0%,70,75.0%,-9.5%,"86,154","$68,512",8.2%,16.2%,8.5%,"$426,533",3.3%,58.5%,37.4%,6.2,"$2,711","$108,468",47.4%,0.5%,85.7%,0.7%,-,20.5%,75.3%,60%,42.6,13.2%,"37,051",1.1%,5.9%,41,47,49.0
"Chambersburg, PA",4.7%,6.6%,14.2,19.4%,2.7%,"1,044",2.5%,494,71.0%,28.0%,"$1,252","$1,565",0.06%,277,43.9%,-12.9%,14.7%,59,9.3%,0.5%,"$353,245",13.0%,122,7.0%,-11.5%,"157,854","$77,392",1.9%,23.8%,8.8%,"$267,873",3.8%,41.0%,4.7%,3.4,"$1,797","$71,896",27.8%,1.0%,43.5%,9.5%,-23.5%,25.4%,76.4%,59%,41.6,7.0%,"67,447",0.6%,6.9%,54,52,53.0
"Champaign, IL",5.8%,7.1%,10.6,24.3%,0.1%,"-1,058",2.5%,377,39.2%,57.6%,"$1,286","$1,607",0.32%,238,-12.0%,-54.3%,12.7%,70,3.3%,0.4%,"$246,400",8.5%,126,0.0%,-10.6%,"222,346","$63,333",-1.7%,19.3%,10.7%,"$206,351",5.6%,33.5%,7.5%,3.2,"$1,534","$61,398",29.0%,1.8%,19.3%,10.6%,-5.9%,45.2%,57.2%,60%,32.5,14.0%,"103,387",-0.4%,8.6%,62,40,43.0
"Charleston, IL",4.8%,10.6%,11.9,14.9%,0.5%,-185,-3.3%,-,66.9%,31.3%,$712,$890,0.73%,60,81.8%,-53.1%,17.0%,66,-16.8%,0.4%,"$144,400",32.1%,16,-27.2%,-3.2%,"57,067","$57,160",-8.8%,18.7%,6.2%,"$128,081",4.3%,25.9%,-1.6%,2.2,$968,"$38,754",20.3%,2.0%,36.0%,11.1%,-,27.1%,60.3%,50%,38.2,16.5%,"27,437",-0.3%,-,63,-,46.0
"Charleston, SC",5.2%,10.3%,14.6,27.3%,4.5%,"16,127",13.9%,"8,330",51.3%,46.9%,"$1,976","$2,470",0.01%,"2,796",24.6%,-5.5%,26.4%,66,2.3%,1.1%,"$508,000",1.7%,"1,226",2.8%,-4.3%,"849,417","$86,868",7.8%,23.2%,15.7%,"$435,313",2.7%,57.5%,16.9%,5.0,"$2,708","$108,330",37.4%,0.4%,37.0%,9.0%,-27.1%,42.1%,69.5%,65%,38.6,9.3%,"386,943",1.8%,3.2%,49,67,57.0
